               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,            0.044862,            0.097184,            0.011872,             0.82798,             0.47896,             0.57039,             0.30792,            0.049715,            0.083427,            0.011252,             0.00703,             0.00703,             0.00703
                 122,            0.046622,               0.102,            0.011852,             0.86637,             0.46865,             0.58198,             0.35014,            0.045103,            0.082664,            0.011586,           0.0070053,           0.0070053,           0.0070053
                 123,            0.043868,             0.11732,            0.011998,             0.94845,             0.43739,             0.59071,             0.35511,            0.045633,            0.082802,            0.011013,           0.0069805,           0.0069805,           0.0069805
                 124,            0.044192,             0.10635,            0.011431,             0.85117,             0.48551,             0.58117,             0.34954,            0.044766,            0.082481,            0.011071,           0.0069558,           0.0069558,           0.0069558
                 125,            0.042825,             0.11035,            0.010838,             0.85954,             0.46005,             0.58513,             0.32706,            0.050831,            0.088821,            0.011102,            0.006931,            0.006931,            0.006931
                 126,            0.044094,             0.10964,            0.011022,             0.87166,             0.48007,              0.5908,             0.36284,            0.042848,            0.084167,            0.011184,           0.0069063,           0.0069063,           0.0069063
                 127,            0.042595,            0.099544,            0.010817,             0.83904,             0.49071,             0.57449,             0.33452,            0.048713,            0.086334,             0.01092,           0.0068815,           0.0068815,           0.0068815
                 128,            0.044865,             0.10989,            0.010621,                0.83,             0.47019,             0.57759,             0.34882,            0.044841,            0.083755,            0.011641,           0.0068568,           0.0068568,           0.0068568
                 129,            0.044033,             0.10131,            0.011103,             0.78639,             0.49191,             0.53751,             0.29453,            0.053735,            0.089371,            0.011291,            0.006832,            0.006832,            0.006832
                 130,            0.046185,            0.091949,            0.010277,              0.8278,             0.47247,              0.5613,             0.35346,            0.046313,            0.088425,            0.011357,           0.0068073,           0.0068073,           0.0068073
                 131,            0.041732,             0.10204,            0.010844,             0.86493,             0.48094,             0.57001,             0.35491,            0.045468,            0.082794,             0.01179,           0.0067825,           0.0067825,           0.0067825
                 132,            0.043244,             0.10155,            0.010747,             0.89746,             0.45088,             0.58504,             0.35717,            0.044017,               0.083,             0.01095,           0.0067577,           0.0067577,           0.0067577
                 133,            0.043118,             0.10537,            0.010845,             0.84032,              0.4433,             0.54706,              0.3162,            0.052622,            0.089035,            0.010411,            0.006733,            0.006733,            0.006733
                 134,            0.045841,             0.10385,            0.010785,             0.91368,             0.45088,             0.59298,             0.36568,            0.043295,            0.085594,            0.010674,           0.0067082,           0.0067082,           0.0067082
                 135,            0.039911,             0.10182,            0.010653,             0.89825,             0.46586,             0.58656,             0.31155,            0.050018,            0.091278,             0.01067,           0.0066835,           0.0066835,           0.0066835
                 136,            0.046493,             0.10144,             0.01071,             0.87806,             0.44708,             0.57036,             0.36215,            0.044868,            0.084999,            0.011112,           0.0066587,           0.0066587,           0.0066587
                 137,            0.041834,            0.093174,            0.010135,             0.86657,             0.44111,             0.56119,             0.30112,            0.049361,            0.088379,            0.010698,            0.006634,            0.006634,            0.006634
                 138,            0.044049,             0.10238,            0.010306,             0.94272,             0.43584,              0.5906,             0.35909,            0.043315,            0.084335,            0.010669,           0.0066092,           0.0066092,           0.0066092
                 139,            0.042535,              0.1019,            0.010311,             0.92077,             0.43573,             0.58339,             0.34847,            0.048077,            0.083511,            0.010906,           0.0065845,           0.0065845,           0.0065845
                 140,             0.04478,             0.10112,            0.010192,             0.88649,             0.46056,             0.57653,             0.35612,            0.044524,             0.08242,            0.010172,           0.0065598,           0.0065598,           0.0065598
                 141,            0.042185,            0.095567,            0.010035,             0.74178,              0.4941,             0.54007,              0.2977,            0.050893,            0.087593,            0.011449,            0.006535,            0.006535,            0.006535
                 142,            0.045324,            0.097323,            0.010343,             0.86192,             0.49511,             0.59954,             0.35588,            0.044192,            0.082108,            0.010637,           0.0065102,           0.0065102,           0.0065102
                 143,            0.041586,             0.10113,            0.010089,             0.90194,             0.42278,             0.56327,             0.34038,             0.04635,            0.082336,            0.010236,           0.0064855,           0.0064855,           0.0064855
                 144,             0.04454,             0.10559,            0.010589,             0.91994,             0.44502,             0.57228,             0.34479,            0.045146,            0.086266,           0.0099026,           0.0064608,           0.0064608,           0.0064608
